iter	Passed	Remaining
0	38	18994
1	78	19457
2	113	18796
3	143	17761
4	176	17497
5	208	17171
6	246	17358
7	287	17688
8	325	17745
9	362	17742
10	393	17480
11	425	17309
12	463	17381
13	508	17658
14	540	17488
15	574	17378
16	604	17172
17	638	17089
18	670	16976
19	713	17120
20	750	17125
21	786	17079
22	820	17015
23	863	17118
24	906	17229
25	949	17301
26	984	17242
27	1016	17135
28	1046	17001
29	1080	16921
30	1112	16837
31	1155	16896
32	1194	16900
33	1225	16791
34	1255	16685
35	1287	16594
36	1324	16574
37	1367	16620
38	1405	16617
39	1436	16523
40	1471	16474
41	1507	16436
42	1549	16468
43	1593	16518
44	1624	16424
45	1655	16337
46	1688	16276
47	1718	16186
48	1755	16153
49	1800	16203
50	1840	16203
51	1870	16115
52	1904	16066
53	1938	16012
54	1980	16024
55	2022	16032
56	2060	16013
57	2100	16005
58	2137	15977
59	2171	15925
60	2215	15941
61	2254	15925
62	2291	15892
63	2325	15839
64	2355	15761
65	2384	15679
66	2420	15643
67	2466	15672
68	2503	15639
69	2539	15597
70	2573	15547
71	2608	15504
72	2652	15514
73	2693	15503
74	2728	15460
75	2762	15412
76	2796	15364
77	2830	15312
78	2869	15292
79	2916	15312
80	2946	15243
81	2982	15201
82	3016	15153
83	3050	15108
84	3089	15084
85	3135	15094
86	3170	15051
87	3205	15007
88	3237	14949
89	3272	14908
90	3307	14864
91	3350	14856
92	3381	14798
93	3416	14754
94	3450	14708
95	3483	14661
96	3523	14639
97	3563	14615
98	3599	14581
99	3629	14519
100	3663	14472
101	3697	14426
102	3735	14399
103	3779	14389
104	3811	14340
105	3847	14299
106	3877	14241
107	3911	14196
108	3949	14168
109	3991	14151
110	4036	14144
111	4069	14096
112	4102	14050
113	4132	13992
114	4173	13971
115	4209	13935
116	4244	13895
117	4278	13850
118	4308	13793
119	4341	13748
120	4377	13712
121	4410	13665
122	4446	13628
123	4476	13575
124	4515	13546
125	4546	13494
126	4582	13458
127	4617	13420
128	4651	13378
129	4686	13338
130	4720	13297
131	4750	13245
132	4780	13190
133	4815	13152
134	4849	13112
135	4883	13070
136	4917	13028
